model,seed,params,acc,epoch_best,temperature,grid,nll_uncalibrated,nll_calibrated,brier_uncalibrated,brier_calibrated,ece_uncalibrated,ece_calibrated,label_fraction
mlp,42,267786,0.777400016784668,1,1.1794663667678833,,0.642578125,0.662109375,0.3115893006324768,0.31728503108024597,0.016055865213274956,0.060441795736551285,0.02
pykan,42,269352,0.7731999754905701,14,0.6760038733482361,3.0,0.7454480528831482,0.7151345014572144,0.33475738763809204,0.32743388414382935,0.08259760588407516,0.03655553236603737,0.02
fastkan,42,267509,0.7494000196456909,9,0.9755266308784485,5.0,0.77197265625,0.7666015625,0.3537014126777649,0.3520857095718384,0.06817442178726196,0.059801436960697174,0.02
mlp,43,267786,0.7651000022888184,1,1.205902338027954,,0.6904296875,0.70947265625,0.3354548215866089,0.3415369689464569,0.01467305701225996,0.06335949897766113,0.02
pykan,43,269352,0.7710999846458435,4,1.0289807319641113,3.0,0.7126357555389404,0.7187920212745667,0.33280399441719055,0.33475562930107117,0.06604860723018646,0.07509759068489075,0.02
fastkan,43,267509,0.7638999819755554,14,-44.12251281738281,5.0,0.76318359375,2.375,0.3470841944217682,0.9138224720954895,0.09187851846218109,0.10343288630247116,0.02
mlp,44,267786,0.7628999948501587,1,1.2246943712234497,,0.67919921875,0.70849609375,0.3326560854911804,0.3421165943145752,0.02240019291639328,0.07625004649162292,0.02
pykan,44,269352,0.77920001745224,3,1.0714194774627686,3.0,0.6970715522766113,0.7161915302276611,0.3280797004699707,0.3349684178829193,0.09639377146959305,0.11801310628652573,0.02
fastkan,44,267509,0.7615000009536743,15,0.9818793535232544,5.0,0.78466796875,0.77978515625,0.35037198662757874,0.3487391471862793,0.0928964838385582,0.08640316873788834,0.02
mlp,45,267786,0.7746999859809875,1,1.0754374265670776,,0.642578125,0.64892578125,0.31533801555633545,0.3171676695346832,0.018678130581974983,0.03678988665342331,0.02
pykan,45,269352,0.7684000134468079,4,0.8952083587646484,3.0,0.7084501385688782,0.6890227198600769,0.3377358317375183,0.33158183097839355,0.0754428580403328,0.04260217025876045,0.02
fastkan,45,267509,0.7529000043869019,9,-45.71540069580078,5.0,0.77001953125,2.376953125,0.35225382447242737,0.914620578289032,0.06225059553980827,0.1039089635014534,0.02
mlp,46,267786,0.7732999920845032,1,1.0377448797225952,,0.64404296875,0.6474609375,0.31391575932502747,0.3148650527000427,0.02268964797258377,0.03249762952327728,0.02
pykan,46,269352,0.7677000164985657,4,-92.38533020019531,3.0,0.7274275422096252,2.342376708984375,0.3410359025001526,0.9078078269958496,0.080157071352005,0.1027199923992157,0.02
fastkan,46,267509,0.7458000183105469,6,-71.66615295410156,5.0,0.78466796875,2.349609375,0.36747100949287415,0.9091678857803345,0.07250899821519852,0.1028778925538063,0.02
